product_id,product_name,product_type,asset_class,provider,risk_grade,annual_fee_pct,min_subscription_won,launch_date,benchmark,distribution_type,base_nav,description
INV-연금-0001,동백자산운용 해외채권 연금 1호,연금,해외채권,동백자산운용,5,1.71,3000000,2021-08-19,S&P500,분배형,1235.22,해외채권 중심의 연금. 장기투자에 적합.
INV-펀드-0002,다올자산 국내주식 펀드 2호,펀드,국내주식,다올자산,3,1.77,1000000,2019-03-31,KRX채권,분배형,1090.49,국내주식 중심의 펀드. 장기투자에 적합.
INV-ET-0003,청우투자 부동산리츠 ETF 3호,ETF,부동산리츠,청우투자,5,1.51,100000,2019-09-29,KOSPI,재투자형,1117.57,부동산리츠 중심의 ETF. 장기투자에 적합.
INV-연금-0004,한빛자산운용 혼합형 연금 4호,연금,혼합형,한빛자산운용,4,1.24,1000000,2023-08-16,KRX채권,재투자형,914.43,혼합형 중심의 연금. 장기투자에 적합.
INV-ET-0005,청우투자 해외주식 ETF 5호,ETF,해외주식,청우투자,4,0.36,1000000,2023-04-17,Mixed50,분배형,1458.41,해외주식 중심의 ETF. 장기투자에 적합.
INV-연금-0006,다올자산 부동산리츠 연금 6호,연금,부동산리츠,다올자산,5,2.06,1000000,2021-02-27,Mixed50,분배형,1177.76,부동산리츠 중심의 연금. 장기투자에 적합.
INV-변액-0007,한빛자산운용 국내채권 변액보험 7호,변액보험,국내채권,한빛자산운용,1,1.27,1000000,2020-01-22,KOSDAQ,재투자형,940.32,국내채권 중심의 변액보험. 장기투자에 적합.
INV-ET-0008,삼산에셋 국내주식 ETF 8호,ETF,국내주식,삼산에셋,3,2.18,3000000,2020-09-13,MSCI-AC,분배형,1184.29,국내주식 중심의 ETF. 장기투자에 적합.
INV-연금-0009,삼산에셋 국내채권 연금 9호,연금,국내채권,삼산에셋,3,2.16,1000000,2021-12-29,MSCI-AC,분배형,1014.15,국내채권 중심의 연금. 장기투자에 적합.
INV-변액-0010,광화자산운용 원자재 변액보험 10호,변액보험,원자재,광화자산운용,1,1.36,100000,2023-12-02,Mixed50,분배형,1364.05,원자재 중심의 변액보험. 장기투자에 적합.
INV-펀드-0011,한빛자산운용 해외주식 펀드 11호,펀드,해외주식,한빛자산운용,2,1.74,500000,2019-02-10,S&P500,재투자형,1213.07,해외주식 중심의 펀드. 장기투자에 적합.
INV-펀드-0012,동백자산운용 해외주식 펀드 12호,펀드,해외주식,동백자산운용,5,1.47,100000,2019-11-05,KOSDAQ,분배형,1041.43,해외주식 중심의 펀드. 장기투자에 적합.
INV-변액-0013,동백자산운용 원자재 변액보험 13호,변액보험,원자재,동백자산운용,1,0.32,100000,2020-02-23,Mixed50,분배형,933.11,원자재 중심의 변액보험. 장기투자에 적합.
INV-연금-0014,광화자산운용 혼합형 연금 14호,연금,혼합형,광화자산운용,4,1.57,100000,2021-05-11,S&P500,분배형,1324.66,혼합형 중심의 연금. 장기투자에 적합.
INV-변액-0015,삼산에셋 해외주식 변액보험 15호,변액보험,해외주식,삼산에셋,1,0.88,100000,2019-04-23,KOSDAQ,분배형,1302.64,해외주식 중심의 변액보험. 장기투자에 적합.
INV-연금-0016,한빛자산운용 해외채권 연금 16호,연금,해외채권,한빛자산운용,3,0.67,500000,2020-12-26,KRX채권,분배형,1362.83,해외채권 중심의 연금. 장기투자에 적합.
INV-변액-0017,한빛자산운용 해외채권 변액보험 17호,변액보험,해외채권,한빛자산운용,4,0.66,100000,2019-06-14,KOSPI,분배형,1237.27,해외채권 중심의 변액보험. 장기투자에 적합.
INV-ET-0018,다올자산 국내채권 ETF 18호,ETF,국내채권,다올자산,3,0.68,500000,2020-09-09,S&P500,분배형,1042.43,국내채권 중심의 ETF. 장기투자에 적합.
INV-연금-0019,삼산에셋 원자재 연금 19호,연금,원자재,삼산에셋,2,0.54,100000,2022-02-15,KOSPI,재투자형,1435.68,원자재 중심의 연금. 장기투자에 적합.
INV-펀드-0020,삼산에셋 원자재 펀드 20호,펀드,원자재,삼산에셋,5,0.47,500000,2020-04-02,KOSPI,분배형,1331.34,원자재 중심의 펀드. 장기투자에 적합.
INV-연금-0021,다올자산 혼합형 연금 21호,연금,혼합형,다올자산,1,0.21,1000000,2021-06-13,KOSDAQ,분배형,1176.42,혼합형 중심의 연금. 장기투자에 적합.
INV-ET-0022,다올자산 해외채권 ETF 22호,ETF,해외채권,다올자산,2,1.06,1000000,2019-04-24,KRX채권,재투자형,909.96,해외채권 중심의 ETF. 장기투자에 적합.
INV-펀드-0023,한빛자산운용 해외채권 펀드 23호,펀드,해외채권,한빛자산운용,2,1.6,100000,2020-05-07,S&P500,재투자형,1152.56,해외채권 중심의 펀드. 장기투자에 적합.
INV-펀드-0024,광화자산운용 혼합형 펀드 24호,펀드,혼합형,광화자산운용,4,1.64,1000000,2023-11-29,KOSDAQ,분배형,1309.73,혼합형 중심의 펀드. 장기투자에 적합.
INV-ET-0025,동백자산운용 국내채권 ETF 25호,ETF,국내채권,동백자산운용,3,1.99,500000,2019-05-28,KOSDAQ,재투자형,1400.41,국내채권 중심의 ETF. 장기투자에 적합.
INV-펀드-0026,동백자산운용 해외채권 펀드 26호,펀드,해외채권,동백자산운용,4,1.8,1000000,2020-07-16,S&P500,분배형,1264.2,해외채권 중심의 펀드. 장기투자에 적합.
INV-변액-0027,동백자산운용 국내주식 변액보험 27호,변액보험,국내주식,동백자산운용,4,1.94,500000,2023-12-04,S&P500,재투자형,994.73,국내주식 중심의 변액보험. 장기투자에 적합.
INV-연금-0028,한빛자산운용 원자재 연금 28호,연금,원자재,한빛자산운용,2,0.81,3000000,2021-07-05,KOSPI,분배형,1052.24,원자재 중심의 연금. 장기투자에 적합.
INV-변액-0029,광화자산운용 혼합형 변액보험 29호,변액보험,혼합형,광화자산운용,1,1.61,3000000,2019-11-05,Mixed50,재투자형,1147.55,혼합형 중심의 변액보험. 장기투자에 적합.
INV-ET-0030,다올자산 해외주식 ETF 30호,ETF,해외주식,다올자산,2,1.88,100000,2021-04-24,KOSPI,재투자형,1258.35,해외주식 중심의 ETF. 장기투자에 적합.
INV-ET-0031,다올자산 국내주식 ETF 31호,ETF,국내주식,다올자산,5,0.97,1000000,2019-04-06,S&P500,재투자형,1416.01,국내주식 중심의 ETF. 장기투자에 적합.
INV-연금-0032,청우투자 해외채권 연금 32호,연금,해외채권,청우투자,3,1.13,1000000,2022-04-15,KOSDAQ,분배형,1039.99,해외채권 중심의 연금. 장기투자에 적합.
INV-ET-0033,광화자산운용 해외채권 ETF 33호,ETF,해외채권,광화자산운용,5,1.51,3000000,2020-03-29,KOSPI,분배형,1005.02,해외채권 중심의 ETF. 장기투자에 적합.
INV-펀드-0034,한빛자산운용 해외주식 펀드 34호,펀드,해외주식,한빛자산운용,5,1.97,1000000,2022-10-01,MSCI-AC,재투자형,1087.83,해외주식 중심의 펀드. 장기투자에 적합.
INV-펀드-0035,광화자산운용 혼합형 펀드 35호,펀드,혼합형,광화자산운용,2,1.41,500000,2019-11-07,KOSDAQ,재투자형,1185.97,혼합형 중심의 펀드. 장기투자에 적합.
INV-연금-0036,동백자산운용 혼합형 연금 36호,연금,혼합형,동백자산운용,4,0.85,500000,2019-06-20,KOSPI,분배형,946.35,혼합형 중심의 연금. 장기투자에 적합.
INV-변액-0037,삼산에셋 부동산리츠 변액보험 37호,변액보험,부동산리츠,삼산에셋,4,1.88,1000000,2022-11-22,MSCI-AC,분배형,984.1,부동산리츠 중심의 변액보험. 장기투자에 적합.
INV-변액-0038,광화자산운용 혼합형 변액보험 38호,변액보험,혼합형,광화자산운용,2,0.75,1000000,2020-12-17,KOSPI,재투자형,1149.36,혼합형 중심의 변액보험. 장기투자에 적합.
INV-펀드-0039,다올자산 해외채권 펀드 39호,펀드,해외채권,다올자산,2,1.38,500000,2019-06-13,MSCI-AC,분배형,1251.46,해외채권 중심의 펀드. 장기투자에 적합.
INV-펀드-0040,삼산에셋 부동산리츠 펀드 40호,펀드,부동산리츠,삼산에셋,5,1.96,500000,2019-08-19,KRX채권,분배형,1229.61,부동산리츠 중심의 펀드. 장기투자에 적합.
INV-연금-0041,삼산에셋 국내채권 연금 41호,연금,국내채권,삼산에셋,4,0.66,500000,2023-05-03,S&P500,재투자형,1235.95,국내채권 중심의 연금. 장기투자에 적합.
INV-ET-0042,삼산에셋 해외주식 ETF 42호,ETF,해외주식,삼산에셋,5,0.46,100000,2020-01-24,Mixed50,재투자형,1222.69,해외주식 중심의 ETF. 장기투자에 적합.
INV-ET-0043,청우투자 국내채권 ETF 43호,ETF,국내채권,청우투자,2,0.21,1000000,2021-08-27,KRX채권,재투자형,1349.21,국내채권 중심의 ETF. 장기투자에 적합.
INV-펀드-0044,청우투자 국내채권 펀드 44호,펀드,국내채권,청우투자,4,0.84,100000,2020-01-22,Mixed50,분배형,1267.62,국내채권 중심의 펀드. 장기투자에 적합.
INV-ET-0045,동백자산운용 국내주식 ETF 45호,ETF,국내주식,동백자산운용,3,1.16,1000000,2022-12-05,KRX채권,분배형,1092.37,국내주식 중심의 ETF. 장기투자에 적합.
INV-펀드-0046,삼산에셋 국내주식 펀드 46호,펀드,국내주식,삼산에셋,2,0.24,100000,2020-10-19,MSCI-AC,분배형,1114.62,국내주식 중심의 펀드. 장기투자에 적합.
INV-펀드-0047,동백자산운용 해외채권 펀드 47호,펀드,해외채권,동백자산운용,1,0.31,500000,2023-01-02,KRX채권,재투자형,1454.38,해외채권 중심의 펀드. 장기투자에 적합.
INV-연금-0048,광화자산운용 원자재 연금 48호,연금,원자재,광화자산운용,3,0.51,3000000,2023-09-23,KRX채권,분배형,1025.11,원자재 중심의 연금. 장기투자에 적합.
INV-변액-0049,광화자산운용 해외주식 변액보험 49호,변액보험,해외주식,광화자산운용,4,2.11,1000000,2022-07-25,Mixed50,분배형,1048.88,해외주식 중심의 변액보험. 장기투자에 적합.
INV-연금-0050,광화자산운용 원자재 연금 50호,연금,원자재,광화자산운용,1,1.2,500000,2020-06-02,S&P500,재투자형,1225.56,원자재 중심의 연금. 장기투자에 적합.
INV-ET-0051,동백자산운용 원자재 ETF 51호,ETF,원자재,동백자산운용,4,0.16,1000000,2022-12-16,KRX채권,분배형,1489.75,원자재 중심의 ETF. 장기투자에 적합.
INV-펀드-0052,광화자산운용 해외채권 펀드 52호,펀드,해외채권,광화자산운용,3,0.81,500000,2020-08-18,KOSPI,분배형,1035.67,해외채권 중심의 펀드. 장기투자에 적합.
INV-연금-0053,광화자산운용 해외주식 연금 53호,연금,해외주식,광화자산운용,1,1.51,3000000,2022-09-10,Mixed50,재투자형,1299.19,해외주식 중심의 연금. 장기투자에 적합.
INV-펀드-0054,청우투자 국내채권 펀드 54호,펀드,국내채권,청우투자,4,1.58,100000,2021-06-21,S&P500,분배형,1039.4,국내채권 중심의 펀드. 장기투자에 적합.
INV-연금-0055,삼산에셋 해외채권 연금 55호,연금,해외채권,삼산에셋,3,0.16,100000,2023-08-29,KOSPI,재투자형,950.06,해외채권 중심의 연금. 장기투자에 적합.
INV-펀드-0056,광화자산운용 혼합형 펀드 56호,펀드,혼합형,광화자산운용,5,0.83,100000,2020-12-24,Mixed50,분배형,1124.17,혼합형 중심의 펀드. 장기투자에 적합.
INV-펀드-0057,다올자산 혼합형 펀드 57호,펀드,혼합형,다올자산,3,0.22,3000000,2021-10-05,KOSPI,재투자형,980.26,혼합형 중심의 펀드. 장기투자에 적합.
INV-펀드-0058,청우투자 해외채권 펀드 58호,펀드,해외채권,청우투자,5,0.28,1000000,2022-04-07,MSCI-AC,재투자형,1281.69,해외채권 중심의 펀드. 장기투자에 적합.
INV-연금-0059,삼산에셋 국내주식 연금 59호,연금,국내주식,삼산에셋,4,0.62,100000,2021-04-19,KOSPI,분배형,1038.77,국내주식 중심의 연금. 장기투자에 적합.
INV-연금-0060,동백자산운용 해외채권 연금 60호,연금,해외채권,동백자산운용,4,0.4,3000000,2022-03-04,KOSDAQ,재투자형,1327.59,해외채권 중심의 연금. 장기투자에 적합.
INV-펀드-0061,청우투자 원자재 펀드 61호,펀드,원자재,청우투자,2,1.72,500000,2022-06-09,KOSDAQ,재투자형,1032.99,원자재 중심의 펀드. 장기투자에 적합.
INV-펀드-0062,광화자산운용 해외채권 펀드 62호,펀드,해외채권,광화자산운용,5,1.18,3000000,2020-07-15,MSCI-AC,재투자형,1408.46,해외채권 중심의 펀드. 장기투자에 적합.
INV-펀드-0063,광화자산운용 원자재 펀드 63호,펀드,원자재,광화자산운용,4,1.21,1000000,2019-10-06,S&P500,분배형,1346.64,원자재 중심의 펀드. 장기투자에 적합.
INV-ET-0064,광화자산운용 해외채권 ETF 64호,ETF,해외채권,광화자산운용,1,1.24,1000000,2020-10-22,Mixed50,재투자형,1353.71,해외채권 중심의 ETF. 장기투자에 적합.
INV-ET-0065,다올자산 혼합형 ETF 65호,ETF,혼합형,다올자산,2,0.55,100000,2022-12-15,KOSDAQ,재투자형,1363.2,혼합형 중심의 ETF. 장기투자에 적합.
INV-연금-0066,삼산에셋 국내주식 연금 66호,연금,국내주식,삼산에셋,3,1.8,100000,2020-02-04,KRX채권,재투자형,1230.11,국내주식 중심의 연금. 장기투자에 적합.
INV-펀드-0067,다올자산 국내채권 펀드 67호,펀드,국내채권,다올자산,4,1.95,100000,2019-01-24,KRX채권,재투자형,1337.52,국내채권 중심의 펀드. 장기투자에 적합.
INV-연금-0068,동백자산운용 해외주식 연금 68호,연금,해외주식,동백자산운용,2,1.54,3000000,2021-07-05,Mixed50,분배형,1442.48,해외주식 중심의 연금. 장기투자에 적합.
INV-변액-0069,광화자산운용 부동산리츠 변액보험 69호,변액보험,부동산리츠,광화자산운용,1,0.85,3000000,2019-10-23,KOSDAQ,분배형,1319.79,부동산리츠 중심의 변액보험. 장기투자에 적합.
INV-변액-0070,청우투자 부동산리츠 변액보험 70호,변액보험,부동산리츠,청우투자,2,1.0,500000,2022-12-24,KRX채권,분배형,1087.26,부동산리츠 중심의 변액보험. 장기투자에 적합.
INV-ET-0071,동백자산운용 혼합형 ETF 71호,ETF,혼합형,동백자산운용,2,0.66,3000000,2021-05-17,KRX채권,분배형,1214.56,혼합형 중심의 ETF. 장기투자에 적합.
INV-펀드-0072,다올자산 부동산리츠 펀드 72호,펀드,부동산리츠,다올자산,4,0.16,500000,2021-12-22,MSCI-AC,재투자형,962.87,부동산리츠 중심의 펀드. 장기투자에 적합.
INV-ET-0073,삼산에셋 원자재 ETF 73호,ETF,원자재,삼산에셋,1,1.16,1000000,2020-12-09,KOSDAQ,재투자형,1390.87,원자재 중심의 ETF. 장기투자에 적합.
INV-펀드-0074,동백자산운용 원자재 펀드 74호,펀드,원자재,동백자산운용,5,0.36,3000000,2023-10-15,KOSDAQ,재투자형,1085.47,원자재 중심의 펀드. 장기투자에 적합.
INV-ET-0075,청우투자 해외주식 ETF 75호,ETF,해외주식,청우투자,1,1.34,100000,2021-06-10,KOSPI,분배형,1258.49,해외주식 중심의 ETF. 장기투자에 적합.
INV-ET-0076,다올자산 혼합형 ETF 76호,ETF,혼합형,다올자산,3,1.08,100000,2023-09-30,KOSPI,분배형,1214.49,혼합형 중심의 ETF. 장기투자에 적합.
INV-연금-0077,청우투자 해외주식 연금 77호,연금,해외주식,청우투자,1,1.47,500000,2020-09-17,Mixed50,분배형,1133.76,해외주식 중심의 연금. 장기투자에 적합.
INV-연금-0078,청우투자 혼합형 연금 78호,연금,혼합형,청우투자,4,1.63,3000000,2021-03-31,MSCI-AC,분배형,1446.37,혼합형 중심의 연금. 장기투자에 적합.
INV-ET-0079,다올자산 해외주식 ETF 79호,ETF,해외주식,다올자산,1,0.98,100000,2023-01-07,Mixed50,분배형,1176.27,해외주식 중심의 ETF. 장기투자에 적합.
INV-변액-0080,동백자산운용 원자재 변액보험 80호,변액보험,원자재,동백자산운용,4,1.62,100000,2021-08-29,S&P500,재투자형,1386.8,원자재 중심의 변액보험. 장기투자에 적합.
INV-펀드-0081,다올자산 해외주식 펀드 81호,펀드,해외주식,다올자산,1,1.91,500000,2021-08-21,KOSPI,재투자형,1082.77,해외주식 중심의 펀드. 장기투자에 적합.
INV-펀드-0082,청우투자 국내주식 펀드 82호,펀드,국내주식,청우투자,2,1.57,500000,2023-08-25,S&P500,분배형,1453.97,국내주식 중심의 펀드. 장기투자에 적합.
INV-펀드-0083,한빛자산운용 해외채권 펀드 83호,펀드,해외채권,한빛자산운용,1,0.71,500000,2019-07-26,S&P500,분배형,1285.46,해외채권 중심의 펀드. 장기투자에 적합.
INV-변액-0084,한빛자산운용 국내주식 변액보험 84호,변액보험,국내주식,한빛자산운용,5,0.78,100000,2022-06-26,KOSDAQ,분배형,1060.5,국내주식 중심의 변액보험. 장기투자에 적합.
INV-연금-0085,동백자산운용 해외주식 연금 85호,연금,해외주식,동백자산운용,3,1.18,1000000,2019-09-17,MSCI-AC,재투자형,1215.35,해외주식 중심의 연금. 장기투자에 적합.
INV-ET-0086,광화자산운용 해외채권 ETF 86호,ETF,해외채권,광화자산운용,4,0.28,1000000,2023-06-21,KRX채권,분배형,1044.21,해외채권 중심의 ETF. 장기투자에 적합.
INV-ET-0087,한빛자산운용 국내주식 ETF 87호,ETF,국내주식,한빛자산운용,4,0.16,1000000,2021-07-01,KOSPI,분배형,1468.16,국내주식 중심의 ETF. 장기투자에 적합.
INV-변액-0088,청우투자 혼합형 변액보험 88호,변액보험,혼합형,청우투자,5,0.64,500000,2020-11-21,Mixed50,분배형,1114.5,혼합형 중심의 변액보험. 장기투자에 적합.
INV-연금-0089,광화자산운용 국내주식 연금 89호,연금,국내주식,광화자산운용,5,1.86,500000,2020-11-12,MSCI-AC,재투자형,1034.52,국내주식 중심의 연금. 장기투자에 적합.
INV-ET-0090,광화자산운용 혼합형 ETF 90호,ETF,혼합형,광화자산운용,4,1.88,500000,2021-01-08,MSCI-AC,분배형,1058.11,혼합형 중심의 ETF. 장기투자에 적합.
INV-ET-0091,한빛자산운용 국내주식 ETF 91호,ETF,국내주식,한빛자산운용,5,0.29,100000,2019-05-05,S&P500,재투자형,1115.24,국내주식 중심의 ETF. 장기투자에 적합.
INV-ET-0092,한빛자산운용 해외채권 ETF 92호,ETF,해외채권,한빛자산운용,3,0.16,500000,2019-04-23,Mixed50,재투자형,1450.78,해외채권 중심의 ETF. 장기투자에 적합.
INV-ET-0093,광화자산운용 국내주식 ETF 93호,ETF,국내주식,광화자산운용,2,0.73,500000,2020-06-09,MSCI-AC,재투자형,1450.11,국내주식 중심의 ETF. 장기투자에 적합.
INV-연금-0094,청우투자 부동산리츠 연금 94호,연금,부동산리츠,청우투자,1,1.96,500000,2023-03-19,KOSDAQ,분배형,1205.23,부동산리츠 중심의 연금. 장기투자에 적합.
INV-연금-0095,청우투자 혼합형 연금 95호,연금,혼합형,청우투자,1,1.89,500000,2019-01-30,MSCI-AC,분배형,1293.51,혼합형 중심의 연금. 장기투자에 적합.
INV-변액-0096,다올자산 국내채권 변액보험 96호,변액보험,국내채권,다올자산,1,1.54,1000000,2023-03-16,S&P500,재투자형,1259.54,국내채권 중심의 변액보험. 장기투자에 적합.
INV-연금-0097,삼산에셋 해외주식 연금 97호,연금,해외주식,삼산에셋,3,1.6,1000000,2023-01-23,S&P500,분배형,1368.09,해외주식 중심의 연금. 장기투자에 적합.
INV-펀드-0098,다올자산 부동산리츠 펀드 98호,펀드,부동산리츠,다올자산,4,1.67,500000,2020-10-26,MSCI-AC,재투자형,1343.37,부동산리츠 중심의 펀드. 장기투자에 적합.
INV-ET-0099,다올자산 국내주식 ETF 99호,ETF,국내주식,다올자산,4,0.75,3000000,2022-01-15,Mixed50,분배형,1181.04,국내주식 중심의 ETF. 장기투자에 적합.
INV-ET-0100,삼산에셋 해외주식 ETF 100호,ETF,해외주식,삼산에셋,2,1.49,100000,2021-09-20,KOSDAQ,분배형,1156.22,해외주식 중심의 ETF. 장기투자에 적합.
